selling_price,km_driven,mileage,engine,max_power,age,make,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
5.0,20000,19.1,1197.0,82.0,8.0,HYUNDAI,1,0,0,0,0,1,1,1,0
8.5,15000,22.54,1396.0,88.73,5.0,HYUNDAI,1,0,1,0,0,0,1,1,0
5.98,40000,18.6,1197.0,81.83,5.0,HYUNDAI,1,0,0,0,0,1,1,1,0
7.0,31180,18.0,1497.0,117.3,8.0,HONDA,0,0,0,0,0,1,0,1,0
9.0,40000,18.49,1493.0,100.0,5.0,MAHINDRA,1,0,1,0,0,0,0,0,1
0.75,50000,16.1,796.0,37.0,19.0,MARUTI,1,0,0,0,0,1,1,0,0
3.0,58000,19.09,1396.0,69.0,8.0,TATA,1,0,1,0,0,0,1,1,0
4.1,56000,23.4,1248.0,74.0,9.0,MARUTI,0,0,1,0,0,0,1,1,0
3.0,93000,20.5,1248.0,91.7,12.0,FIAT,1,0,1,0,0,0,1,1,0
2.25,86000,12.2,1817.0,75.0,13.0,AMBASSADOR,0,0,0,0,0,1,1,1,0
3.0,120000,17.8,1248.0,5.0,12.0,MARUTI,1,0,1,0,0,0,1,1,0
5.9,52427,21.4,1197.0,83.1,7.0,MARUTI,0,0,0,0,0,1,0,1,0
8.5,40000,21.0,1498.0,74.96,3.0,MAHINDRA,1,0,1,0,0,0,1,0,1
1.08,70000,26.0,624.0,35.0,12.0,TATA,1,0,0,0,0,1,1,0,0
5.5,17000,18.15,1198.0,82.0,5.0,MAHINDRA,1,0,0,0,0,1,1,1,0
3.25,54325,17.6,1496.0,88.73,11.0,TOYOTA,0,0,0,0,0,1,1,1,0
6.25,22000,15.4,1590.0,94.0,7.0,MARUTI,0,0,0,0,0,1,1,1,0
6.0,54000,20.85,1197.0,83.14,7.0,MARUTI,1,0,0,0,0,1,1,1,0
4.45,10000,20.51,998.0,67.04,4.0,MARUTI,1,0,0,0,0,1,1,1,0
5.3,20000,20.89,1197.0,81.8,4.0,MARUTI,1,0,0,0,0,1,1,1,0
3.85,61000,14.53,1798.0,138.1,12.0,TOYOTA,0,0,0,0,0,1,1,1,0
4.1,53237,26.6,998.0,58.16,5.0,MARUTI,0,1,0,0,0,0,1,1,0
3.5,27263,22.5,999.0,68.0,5.0,DATSUN,1,0,0,0,0,1,1,1,0
2.65,90000,25.0,1396.0,69.01,9.0,TATA,1,0,1,0,0,0,1,1,0
5.2,110000,22.32,1582.0,126.3,9.0,HYUNDAI,1,0,1,0,0,0,1,1,0
7.5,70000,22.54,1396.0,88.73,7.0,HYUNDAI,1,0,1,0,0,0,1,1,0
5.6,70000,26.59,1248.0,74.0,6.0,MARUTI,1,0,1,0,0,0,1,1,0
2.0,190000,19.1,1405.0,70.0,9.0,TATA,1,0,1,0,0,0,1,1,0
6.0,40000,25.4,1186.0,73.97,6.0,HYUNDAI,1,0,1,0,0,0,1,1,0
6.55,39000,18.6,1197.0,81.83,4.0,HYUNDAI,0,0,0,0,0,1,1,1,0
1.25,56000,17.8,1086.0,63.0,16.0,HYUNDAI,0,0,0,0,0,1,1,1,0
4.25,58000,14.53,1794.0,138.1,14.0,TOYOTA,0,0,0,0,0,1,0,1,0
2.2,40000,16.8,796.0,34.2,6.0,MARUTI,1,0,0,0,0,1,1,0,1
5.5,34000,18.6,1197.0,81.83,5.0,HYUNDAI,1,0,0,0,0,1,1,1,0
11.5,50000,15.4,1997.0,120.0,6.0,MAHINDRA,1,0,1,0,0,0,1,0,1
5.0,77400,20.54,1598.0,103.6,11.0,VOLKSWAGEN,1,0,1,0,0,0,1,1,0
9.9,36000,17.3,1497.0,121.0,4.0,MAHINDRA,1,0,1,0,0,0,1,0,1
5.51,47876,25.0,1493.0,113.42,10.0,HYUNDAI,0,0,1,0,0,0,1,1,0
16.5,21500,15.1,2179.0,152.87,5.0,MAHINDRA,1,0,1,0,0,0,0,0,1
3.5,75000,24.0,1120.0,70.0,8.0,HYUNDAI,0,0,1,0,0,0,1,1,0
5.0,58000,18.16,1196.0,86.8,6.0,FORD,0,0,0,0,0,1,1,1,0
5.75,30000,21.21,1197.0,81.8,5.0,MARUTI,1,0,0,0,0,1,1,1,0
5.45,50000,24.0,1186.0,73.97,5.0,HYUNDAI,1,0,1,0,0,0,1,1,0
5.25,19093,18.16,1196.0,86.8,6.0,FORD,0,1,0,0,0,1,1,1,0
4.0,50000,18.0,1198.0,86.7,9.0,HONDA,1,0,0,0,0,1,1,1,0
1.55,37000,14.0,1061.0,64.0,17.0,MARUTI,0,0,0,0,0,1,1,1,0
5.4,3888,23.5,909.0,45.0,4.0,MAHINDRA,1,0,1,0,0,0,1,0,1
5.45,47000,26.59,1248.0,74.0,7.0,MARUTI,0,0,1,0,0,0,1,1,0
5.45,70000,16.8,1497.0,116.3,10.0,HONDA,1,0,0,0,0,1,1,1,0
2.4,25000,25.17,799.0,53.3,7.0,RENAULT,1,0,0,0,0,1,1,1,0
7.25,26000,24.3,1248.0,88.5,5.0,MARUTI,0,0,1,0,0,0,1,1,0
4.8,30000,18.16,1196.0,86.8,6.0,FORD,1,0,0,0,0,1,1,1,0
3.75,15000,18.5,1197.0,82.9,10.0,HYUNDAI,1,0,0,0,0,1,1,1,0
2.25,160000,17.8,1248.0,75.0,12.0,MARUTI,1,0,1,0,0,0,1,1,0
4.0,32100,23.84,1199.0,84.0,6.0,TATA,1,0,0,0,0,1,1,1,0
5.5,22000,18.5,1197.0,82.9,7.0,HYUNDAI,0,0,0,0,0,1,1,1,0
10.5,44000,15.4,2179.0,120.0,7.0,MAHINDRA,0,0,1,0,0,0,1,0,1
4.5,78000,18.78,1198.0,74.0,7.0,VOLKSWAGEN,0,0,0,0,0,1,1,1,0
7.75,74352,11.74,1796.0,186.0,11.0,MERCEDES-BENZ,0,0,0,0,0,1,0,1,0
3.5,37000,20.51,998.0,67.04,9.0,MARUTI,1,0,0,0,0,1,1,1,0
5.5,69000,25.1,1498.0,98.6,9.0,HONDA,0,0,1,0,0,0,1,1,0
10.8,12120,16.8,1497.0,113.4,4.0,KIA,1,0,0,0,0,1,1,1,0
5.75,52000,21.01,1197.0,81.8,7.0,MARUTI,0,0,0,0,0,1,1,1,0
9.5,120000,12.99,2494.0,100.6,7.0,TOYOTA,1,0,1,0,0,0,1,0,1
2.3,55000,22.74,796.0,47.3,10.0,MARUTI,1,0,0,0,0,1,1,1,0
2.7,160000,21.9,1396.0,90.0,12.0,HYUNDAI,1,0,1,0,0,0,1,1,0
1.65,42000,25.44,936.0,56.3,11.0,CHEVROLET,0,0,1,0,0,0,1,1,0
1.3,40000,15.6,1196.0,70.0,12.0,FORD,1,0,0,0,0,1,1,1,0
3.7,46000,19.1,1197.0,85.8,11.0,MARUTI,0,0,0,0,0,1,1,1,0
5.7,25000,21.4,1197.0,83.1,6.0,MARUTI,0,0,0,0,0,1,1,1,0
3.9,240000,23.59,1364.0,67.05,8.0,TOYOTA,1,0,1,0,0,0,1,1,0
3.65,90000,22.07,1199.0,73.9,10.0,VOLKSWAGEN,0,0,1,0,0,0,1,1,0
2.8,49566,18.5,1197.0,82.85,11.0,HYUNDAI,0,0,0,0,0,1,1,1,0
12.5,14000,22.0,1582.0,126.2,5.0,HYUNDAI,0,0,1,0,0,0,0,1,0
5.9,11000,18.6,1197.0,81.83,7.0,HYUNDAI,0,0,0,0,0,1,1,1,0
4.75,5000,23.1,998.0,67.04,5.0,MARUTI,1,0,0,0,0,1,0,1,0
6.85,55000,23.0,1498.0,98.96,6.0,FORD,0,0,1,0,0,0,1,1,0
3.8,65000,19.08,1582.0,126.32,11.0,HYUNDAI,0,0,1,0,0,0,0,1,0
3.3,22000,23.01,999.0,67.0,5.0,RENAULT,1,0,0,0,0,1,1,1,0
6.5,7671,21.01,1197.0,81.8,5.0,MARUTI,0,1,0,0,0,1,1,1,0
3.25,66000,20.51,998.0,67.04,7.0,MARUTI,1,0,0,0,0,1,1,1,0
6.4,45156,21.21,1197.0,81.8,5.0,MARUTI,0,0,0,0,0,1,0,1,0
9.49,25000,18.27,998.0,118.35,4.0,HYUNDAI,1,0,0,0,0,1,1,1,0
7.5,70000,20.45,1461.0,83.8,8.0,NISSAN,1,0,1,0,0,0,1,1,0
6.6,120000,23.9,1582.0,126.2,8.0,HYUNDAI,1,0,1,0,0,0,1,1,0
4.35,28000,16.1,1197.0,85.0,9.0,MARUTI,0,0,0,0,0,1,1,1,0
3.85,55000,21.9,1396.0,88.76,10.0,HYUNDAI,0,0,1,0,0,0,1,1,0
10.0,104000,14.66,2199.0,194.3,12.0,HYUNDAI,1,0,1,0,0,0,1,0,1
12.5,14000,22.0,1582.0,126.2,4.0,HYUNDAI,0,0,1,0,0,0,0,1,0
5.5,18000,20.14,1197.0,81.86,6.0,HYUNDAI,1,0,0,0,0,1,1,1,0
1.55,98780,18.9,998.0,67.1,14.0,MARUTI,0,0,0,0,0,1,1,1,0
4.15,58000,25.2,1248.0,74.0,8.0,MARUTI,0,0,1,0,0,0,1,1,0
2.51,30000,20.92,998.0,67.1,12.0,MARUTI,1,0,0,0,0,1,1,1,0
11.5,46400,15.4,2179.0,120.0,7.0,MAHINDRA,0,0,1,0,0,0,1,0,1
3.1,32111,19.81,1086.0,68.05,9.0,HYUNDAI,0,1,0,0,0,1,1,1,0
3.5,35000,19.44,1198.0,67.0,8.0,DATSUN,1,0,0,0,0,1,1,0,1
11.25,30000,15.4,1997.0,120.0,6.0,MAHINDRA,0,0,1,0,0,0,1,0,1
20.90249999999996,63000,18.59,2993.0,261.49,7.0,BMW,0,0,1,0,0,0,0,1,0
2.0,43890,17.8,1199.0,76.8,6.0,CHEVROLET,1,0,0,0,0,1,1,1,0
4.8,10000,20.62,1198.0,67.0,5.0,DATSUN,1,0,0,0,0,1,1,0,1
8.5,25000,28.4,1248.0,74.02,6.0,MARUTI,1,0,1,0,0,0,0,1,0
11.0,102000,17.01,1582.0,126.2,6.0,HYUNDAI,0,0,1,0,0,0,0,1,0
5.75,35000,22.0,1197.0,81.8,5.0,MARUTI,0,0,0,0,0,1,1,1,0
3.4,49948,17.5,1298.0,85.8,11.0,MARUTI,0,0,0,0,0,1,1,1,0
5.59,114851,25.0,1396.0,69.01,5.0,TATA,1,0,1,0,0,0,1,1,0
9.25,55000,23.0,1498.0,98.96,5.0,FORD,1,0,1,0,0,0,1,1,0
4.0,36000,18.9,1197.0,82.0,8.0,HYUNDAI,0,0,0,0,0,1,1,1,0
5.6,35000,25.4,1186.0,73.97,4.0,HYUNDAI,1,0,1,0,0,0,1,1,0
7.25,49625,17.8,1497.0,117.3,7.0,HONDA,0,0,0,0,0,1,1,1,0
6.0,35000,23.4,1248.0,74.0,9.0,MARUTI,1,0,1,0,0,0,1,1,0
5.5,95000,12.05,2179.0,120.0,10.0,MAHINDRA,1,0,1,0,0,0,1,0,1
5.85,36000,25.83,1498.0,99.0,6.0,FORD,0,0,1,0,0,0,1,1,0
4.11,50000,21.79,998.0,67.05,4.0,MARUTI,1,0,0,0,0,1,1,1,0
4.5,26500,20.85,1197.0,83.14,8.0,MARUTI,1,0,0,0,0,1,1,1,0
12.9,80000,13.7,1997.0,153.86,8.0,HONDA,0,0,0,0,0,1,0,1,0
4.55,46000,16.47,1198.0,74.0,8.0,VOLKSWAGEN,0,0,0,0,0,1,1,1,0
7.1,9000,20.7,1197.0,81.86,4.0,HYUNDAI,1,0,0,0,0,1,1,1,0
4.5,70000,18.49,1493.0,100.0,7.0,MAHINDRA,1,0,1,0,0,0,1,0,1
4.65,33000,17.71,1197.0,78.9,8.0,TOYOTA,0,0,0,0,0,1,1,1,0
7.7,53000,16.8,1497.0,116.3,7.0,HONDA,0,0,0,0,0,1,1,1,0
3.2,50000,19.09,1405.0,69.01,8.0,TATA,1,0,1,0,0,0,1,1,0
3.25,50000,19.09,1405.0,69.01,8.0,TATA,1,0,1,0,0,0,1,1,0
20.90249999999996,11387,10.91,3198.0,197.0,5.0,FORD,1,0,1,0,0,0,0,0,1
7.2,50000,25.8,1498.0,98.6,5.0,HONDA,1,0,1,0,0,0,1,1,0
3.75,52000,25.32,1198.0,77.0,7.0,MAHINDRA,0,0,1,0,0,0,1,1,0
1.45,60000,14.49,1399.0,92.7,13.0,CHEVROLET,1,0,0,0,0,1,1,1,0
4.0,35000,19.44,1198.0,67.0,8.0,DATSUN,1,0,0,0,0,1,1,0,1
6.0,48000,19.87,1461.0,83.8,8.0,RENAULT,1,0,1,0,0,0,1,1,0
6.0,18000,18.7,1199.0,88.7,5.0,HONDA,1,0,0,0,0,1,1,1,0
2.7,57413,14.4,998.0,61.7,11.0,MARUTI,1,0,0,0,1,0,1,1,0
5.0,30000,18.6,1197.0,81.83,8.0,HYUNDAI,1,0,0,0,0,1,1,1,0
6.5,55000,23.9,1582.0,126.2,8.0,HYUNDAI,0,0,1,0,0,0,1,1,0
3.8,120000,18.2,1199.0,82.4,8.0,CHEVROLET,1,0,0,0,0,1,1,1,0
7.28,165000,13.5,2477.0,175.56,11.0,MITSUBISHI,1,0,1,0,0,0,1,0,1
6.6,10000,21.21,1197.0,81.8,5.0,MARUTI,1,0,0,0,0,1,0,1,0
1.8,120000,18.0,1248.0,75.0,13.0,TATA,1,0,1,0,0,0,1,1,0
20.9,68000,22.69,1995.0,190.0,7.0,BMW,0,0,1,0,0,0,0,1,0
2.5,55000,25.44,936.0,56.3,8.0,CHEVROLET,0,0,1,0,0,0,1,1,0
12.75,8000,16.8,1497.0,113.4,3.0,KIA,0,0,0,0,0,1,1,1,0
4.55,80000,14.53,1798.0,138.1,11.0,TOYOTA,0,0,0,0,0,1,1,1,0
4.95,65000,28.4,1248.0,74.0,8.0,MARUTI,0,0,1,0,0,0,1,1,0
2.2,47000,21.1,1197.0,85.8,13.0,MARUTI,1,0,0,0,0,1,1,1,0
8.0,185000,25.1,1248.0,88.5,5.0,MARUTI,1,0,1,0,0,0,1,1,0
12.95,68000,13.01,2199.0,194.3,9.0,HYUNDAI,0,0,1,0,0,0,0,0,1
4.75,25000,18.9,1197.0,82.0,7.0,HYUNDAI,1,0,0,0,0,1,1,1,0
3.8,280000,15.3,2956.0,83.83,9.0,TATA,1,0,1,0,0,0,1,0,1
9.0,7791,25.1,1248.0,88.5,5.0,MARUTI,1,0,1,0,0,0,1,1,0
5.3,70000,20.73,1373.0,91.1,8.0,MARUTI,1,0,0,0,0,1,1,1,0
5.3,9500,23.84,1199.0,84.0,7.0,TATA,1,0,0,0,0,1,1,1,0
6.5,9100,17.01,1591.0,121.3,8.0,HYUNDAI,1,0,0,0,0,1,1,1,0
4.95,82000,12.8,2354.0,177.6,13.0,HONDA,0,0,0,0,0,1,1,1,0
3.35,86000,17.0,1497.0,118.0,13.0,HONDA,0,0,0,0,0,1,1,1,0
20.90249999999996,19000,17.01,1968.0,188.0,3.0,AUDI,0,0,1,0,0,0,0,1,0
12.9,78000,16.55,1968.0,147.51,10.0,AUDI,0,0,1,0,0,0,0,1,0
3.0,60000,20.0,1399.0,68.0,12.0,FORD,1,0,1,0,0,0,1,1,0
5.5,7883,21.5,1197.0,81.8,4.0,MARUTI,0,1,0,0,0,1,0,1,0
3.9,50205,23.4,1248.0,74.0,10.0,MARUTI,0,1,1,0,0,0,1,1,0
2.6,220000,13.6,2523.0,63.0,15.0,MAHINDRA,1,0,1,0,0,0,1,0,1
3.95,58000,24.7,1047.0,69.0,6.0,TATA,0,0,1,0,0,0,1,1,0
5.5,170000,12.05,2179.0,120.0,11.0,MAHINDRA,1,0,1,0,0,0,1,0,1
6.5,15000,22.0,1197.0,81.8,5.0,MARUTI,1,0,0,0,0,1,1,1,0
3.75,71245,28.4,1248.0,74.0,7.0,MARUTI,0,0,1,0,0,0,1,1,0
3.0,20000,21.12,1248.0,88.8,11.0,TATA,1,0,1,0,0,0,1,1,0
4.5,52000,16.78,1496.0,88.73,7.0,TOYOTA,0,0,0,0,0,1,1,1,0
3.35,61000,19.4,1198.0,86.8,8.0,HONDA,1,0,0,0,0,1,1,1,0
13.0,7000,16.1,1353.0,138.0,4.0,KIA,1,0,0,0,0,1,1,1,0
3.6,20000,23.95,998.0,67.05,5.0,MARUTI,1,0,0,0,0,1,1,1,0
5.05,8700,21.63,998.0,67.04,3.0,MARUTI,1,0,0,0,0,1,1,1,0
3.1,25000,24.7,796.0,47.3,4.0,MARUTI,1,0,0,0,0,1,1,1,0
5.45,42000,18.6,1197.0,81.86,8.0,HYUNDAI,0,0,0,0,0,1,1,1,0
3.0,120000,14.0,2498.0,112.0,14.0,MAHINDRA,1,0,1,0,0,0,1,0,1
2.0,60000,14.4,1399.0,94.0,14.0,CHEVROLET,1,0,0,0,0,1,1,1,0
1.5,120000,13.6,2523.0,63.0,17.0,MAHINDRA,1,0,1,0,0,0,1,0,1
5.8,50000,21.4,1197.0,83.1,5.0,MARUTI,1,0,0,0,0,1,1,1,0
2.5,58000,18.9,998.0,67.1,12.0,MARUTI,1,0,0,0,0,1,1,1,0
6.5,36000,17.43,1396.0,105.5,6.0,HYUNDAI,1,0,0,0,0,1,1,1,0
8.0,80000,23.65,1248.0,88.5,7.0,MARUTI,1,0,1,0,0,0,1,1,0
14.75,71000,15.73,1968.0,174.33,10.0,AUDI,0,0,1,0,0,0,0,1,0
4.1,30000,25.47,1248.0,88.5,5.0,MARUTI,1,0,1,0,0,0,1,0,1
5.31,162828,22.77,1498.0,98.59,8.0,FORD,0,0,1,0,0,0,1,1,0
8.9,7500,23.0,1498.0,98.96,5.0,FORD,1,0,1,0,0,0,1,1,0
7.75,47227,14.0,2179.0,138.1,7.0,TATA,0,0,1,0,0,0,1,0,1
4.35,52000,33.54,998.0,67.04,5.0,MARUTI,0,0,0,0,0,0,1,1,0
1.85,74000,20.0,1399.0,68.05,11.0,FORD,0,0,1,0,0,0,1,1,0
4.4,47000,15.96,2523.0,62.1,12.0,MAHINDRA,0,0,1,0,0,0,1,0,1
4.5,50000,18.6,1197.0,81.83,8.0,HYUNDAI,1,0,0,0,0,1,1,1,0
6.0,100000,21.4,1197.0,83.1,6.0,MARUTI,1,0,0,0,0,1,1,1,0
3.2,35000,23.1,998.0,67.04,9.0,MARUTI,1,0,0,0,0,1,1,1,0
7.0,50000,21.19,1396.0,88.73,7.0,HYUNDAI,1,0,1,0,0,0,1,1,0
6.3,10000,18.16,1196.0,86.8,5.0,FORD,1,0,0,0,0,1,1,1,0
3.2,10370,22.74,796.0,47.3,7.0,MARUTI,1,0,0,0,0,1,1,1,0
4.65,62000,16.8,1497.0,116.3,10.0,HONDA,0,0,0,0,0,1,1,1,0
2.75,70000,21.12,1248.0,88.8,12.0,TATA,1,0,1,0,0,0,1,1,0
3.7,250000,21.64,1461.0,84.8,10.0,NISSAN,1,0,1,0,0,0,1,1,0
5.5,40000,18.6,1197.0,81.83,7.0,HYUNDAI,1,0,0,0,0,1,1,1,0
4.45,60000,22.0,1197.0,81.8,6.0,MARUTI,1,0,0,0,0,1,1,1,0
7.05,67231,14.0,2179.0,138.1,10.0,TATA,0,0,1,0,0,0,1,0,1
2.7,64000,33.54,998.0,67.04,10.0,MARUTI,0,0,0,0,0,0,1,1,0
4.2,142587,23.08,1461.0,63.1,11.0,NISSAN,0,0,1,0,0,0,1,1,0
4.75,63000,26.0,1498.0,98.6,9.0,HONDA,0,0,1,0,0,0,1,1,0
17.55,80000,12.55,2982.0,168.5,8.0,TOYOTA,1,0,1,0,0,0,1,0,1
3.5,55000,16.9,1497.0,100.0,12.0,HONDA,0,0,0,0,0,1,1,1,0
5.75,11000,18.6,1197.0,81.83,7.0,HYUNDAI,0,0,0,0,0,1,1,1,0
4.66,66000,23.59,1364.0,67.06,7.0,TOYOTA,0,0,1,0,0,0,1,1,0
3.6,17000,23.01,999.0,67.0,6.0,RENAULT,1,0,0,0,0,1,1,1,0
2.75,25000,24.7,796.0,47.3,6.0,MARUTI,1,0,0,0,0,1,1,1,0
3.2,33350,19.44,1198.0,67.0,7.0,DATSUN,1,0,0,0,0,1,1,0,1
0.95,45000,14.0,796.0,35.0,23.0,MARUTI,1,0,0,0,0,1,1,1,0
3.7,62000,18.9,1197.0,82.0,8.0,HYUNDAI,0,0,0,0,0,1,1,1,0
2.5,30000,19.4,1198.0,86.8,10.0,HONDA,1,0,0,0,0,1,1,1,0
2.75,59000,17.5,1298.0,85.8,14.0,MARUTI,1,0,0,0,0,1,1,1,0
19.5,20000,12.33,1991.0,375.48,8.0,MERCEDES-BENZ,0,0,0,0,0,1,0,1,0
5.5,86113,17.4,1497.0,117.3,9.0,HONDA,0,0,0,0,0,1,1,1,0
13.25,45000,21.43,1364.0,87.2,7.0,TOYOTA,0,0,1,0,0,0,1,1,0
7.5,10000,28.4,1248.0,74.02,5.0,MARUTI,1,0,1,0,0,0,1,1,0
2.9,70000,18.06,1198.0,75.0,12.0,NISSAN,0,0,0,0,0,1,1,1,0
2.72,92537,20.51,998.0,67.04,8.0,MARUTI,1,0,0,0,0,1,1,1,0
9.51,27645,28.09,1248.0,88.5,4.0,MARUTI,0,0,1,0,0,0,1,1,0
2.8,46242,20.92,998.0,67.1,10.0,MARUTI,1,0,0,0,0,1,1,1,0
5.45,70000,16.8,1497.0,116.3,10.0,HONDA,1,0,0,0,0,1,1,1,0
4.5,6000,22.3,799.0,53.26,3.0,RENAULT,1,0,0,0,0,1,1,1,0
4.8,64000,18.6,1197.0,81.83,6.0,HYUNDAI,0,0,0,0,0,1,1,1,0
10.6,93000,15.4,1997.0,120.0,6.0,MAHINDRA,0,0,1,0,0,0,1,0,1
2.35,26200,22.74,796.0,47.3,10.0,MARUTI,0,0,0,0,0,1,1,1,0
5.9,25000,21.4,1197.0,83.1,6.0,MARUTI,1,0,0,0,0,1,1,1,0
7.5,80000,18.49,1493.0,100.0,6.0,MAHINDRA,1,0,1,0,0,0,1,0,1
4.5,70000,18.49,1493.0,100.0,7.0,MAHINDRA,1,0,1,0,0,0,1,0,1
20.90249999999996,50000,12.9,2755.0,174.5,5.0,TOYOTA,0,0,1,0,0,0,0,0,1
1.1,80000,17.92,1086.0,62.1,15.0,HYUNDAI,1,0,0,0,0,1,1,1,0
2.8,110000,13.5,2179.0,115.0,16.0,MAHINDRA,1,0,1,0,0,0,1,1,0
18.51,55000,17.84,1395.0,147.51,7.0,AUDI,0,0,0,0,0,1,0,1,0
7.5,25000,17.4,1497.0,117.3,5.0,HONDA,1,0,0,0,0,1,1,1,0
4.0,36000,18.9,1197.0,81.86,8.0,HYUNDAI,0,0,0,0,0,1,1,1,0
5.3,40000,26.59,1248.0,74.0,8.0,MARUTI,1,0,1,0,0,0,1,1,0
8.7,25000,16.55,2498.0,105.0,5.0,MAHINDRA,1,0,1,0,0,0,1,0,1
2.95,30038,25.17,799.0,53.3,5.0,RENAULT,0,0,0,0,0,1,1,1,0
3.7,53000,27.28,1047.0,69.0,6.0,TATA,1,0,1,0,0,0,1,1,0
5.3,5000,21.21,1197.0,81.8,5.0,MARUTI,1,0,0,0,0,1,1,1,0
6.0,41217,24.4,1120.0,71.0,9.0,HYUNDAI,1,0,1,0,0,0,1,1,0
3.5,35000,24.04,999.0,67.0,6.0,RENAULT,1,0,0,0,0,1,0,1,0
4.7,62000,22.7,1498.0,89.84,10.0,FORD,0,0,1,0,0,0,1,1,0
3.9,42000,25.83,1498.0,99.0,8.0,FORD,1,0,1,0,0,0,1,1,0
1.16,120000,13.2,1995.0,56.0,18.0,AMBASSADOR,1,0,1,0,0,0,1,1,0
