Complaint Number,Major Crime Head,Crime Head and Section,Minor Crime Head,Commits,Month
706671765,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",On Highways,0,Mar-21
101826512,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Trains,0,Mar-21
833444128,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Banks,0,Mar-21
304681047,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Commercial Places / Establishments,0,Mar-21
108207027,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Other Places,7,Mar-21
810006412,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Temple Theft,4,Mar-21
723628413,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Total Burglary (Burglary Day + Burglary Night),385,Mar-21
921247017,THEFT ,Sec.379 to 389 IPC,Others,nan,Mar-21
501987671,THEFT ,Sec.379 to 389 IPC,Of Sand,137,Mar-21
485621843,THEFT ,Sec.379 to 389 IPC,Attempt to Commit,4,Mar-21
761735618,THEFT ,Sec.379 to 389 IPC,Of ATM,0,Mar-21
818991369,THEFT ,Sec.379 to 389 IPC,Communication And Elec. Wire,19,Mar-21
185349892,THEFT ,Sec.379 to 389 IPC,Of Cattle,27,Mar-21
656746158,THEFT ,Sec.379 to 389 IPC,Of Cycle,2,Mar-21
615340215,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Lorries/Trucks,23,Mar-21
215246144,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Buses,1,Mar-21
862232211,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Cars / Jeeps,34,Mar-21
345139974,THEFT ,Sec.379 to 389 IPC,Of Automobiles - Of Two Wheelers,819,Mar-21
717225669,THEFT ,Sec.379 to 389 IPC,Of Automobies - of Three Wheelers,18,Mar-21
198418384,THEFT ,Sec.379 to 389 IPC,Of Accessories of Motor Vehicle,16,Mar-21
864181758,THEFT ,Sec.379 to 389 IPC,Govt. Vehicle,0,Mar-21
460538728,THEFT ,Sec.379 to 389 IPC,"Electronic Goods (Radio, TV, VCR, Acs, OfficeAutomation Equipments)",118,Mar-21
449957441,THEFT ,Sec.379 to 389 IPC,Of Fire Arms,0,Mar-21
745849577,THEFT ,Sec.379 to 389 IPC,Of Explosives,0,Mar-21
410968984,THEFT ,Sec.379 to 389 IPC,Of Cultural - Idols,1,Mar-21
722669851,THEFT ,Sec.379 to 389 IPC,Of Cultural - Painting,0,Mar-21
589941657,THEFT ,Sec.379 to 389 IPC,Of Cultrual - Others,17,Mar-21
135067035,THEFT ,Sec.379 to 389 IPC,Cash,45,Mar-21
423515333,THEFT ,Sec.379 to 389 IPC,Jewellery,76,Mar-21
527034510,THEFT ,Sec.379 to 389 IPC,Other Items Not Included Above,92,Mar-21
859712324,THEFT ,Sec.379 to 389 IPC,In Running Train,4,Mar-21
889389760,THEFT ,Sec.379 to 389 IPC,Extortion,10,Mar-21
878934693,THEFT ,Sec.379 to 389 IPC,House Theft,85,Mar-21
183512256,THEFT ,Sec.379 to 389 IPC,Servant Theft,25,Mar-21
900601634,RIOTS ,Sec.141 to 153 IPC,Others,275,Mar-21
211250883,RIOTS ,Sec.141 to 153 IPC,Land Dispute,81,Mar-21
560141036,RIOTS ,Sec.141 to 153 IPC,Employee - Govt.,0,Mar-21
576847222,RIOTS ,Sec.141 to 153 IPC,Labour - Private Sector,0,Mar-21
630792783,RIOTS ,Sec.141 to 153 IPC,Labour - Public Sector,0,Mar-21
236270553,RIOTS ,Sec.141 to 153 IPC,Linguistic,0,Mar-21
907328457,RIOTS ,Sec.141 to 153 IPC,Political,4,Mar-21
421132721,RIOTS ,Sec.141 to 153 IPC,Regional,0,Mar-21
185373138,RIOTS ,Sec.141 to 153 IPC,Sectarian,0,Mar-21
184322664,RIOTS ,Sec.141 to 153 IPC,Students,0,Mar-21
526911650,RIOTS ,Sec.141 to 153 IPC,Tribal,0,Mar-21
801282953,RIOTS ,Sec.141 to 153 IPC,Due to Village Disputes,1,Mar-21
249828997,RIOTS ,Sec.141 to 153 IPC,Communal,1,Mar-21
870813054,RIOTS ,Sec.141 to 153 IPC,Industrial,0,Mar-21
108406115,RIOTS ,Sec.141 to 153 IPC,Caste,2,Mar-21
191198437,RIOTS ,Sec.141 to 153 IPC,Agrarian,1,Mar-21
750828830,OFFENCES AGAINST STATE ,"Sec. 121 to 130,
except 124(A) IPC",Others,0,Mar-21
621810827,OFFENCES PROMOTING ENEMITY ,"Sec. 153(A),
154(B) & 505 IPC",Others,11,Mar-21
506956373,CRIMINAL BREACH OF TRUST,,Others,46,Mar-21
212695450,CHEATING ,Sec.417 to 420 IPC,Others,542,Mar-21
675532986,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Others,0,Mar-21
990970001,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ","Stock Share, Debentrue Certificate",0,Mar-21
979286404,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Usage of Counterfeit Stamp,0,Mar-21
807928405,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Of Coins (Sec 231 to 254 IPC),0,Mar-21
161063679,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Of Stamps (Sec.255 to 263(A) IPC),0,Mar-21
533467093,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ","Of Currency Notes And Bank Notes (Sec. 489 (A) to489 (E) IPC)",1,Mar-21
769218279,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Others,nan,Mar-21
188579031,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Forgery,41,Mar-21
431318409,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Organised (Racket),0,Mar-21
152680482,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Forgery of Passport,0,Mar-21
804764665,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Other Forgery,11,Mar-21
637862660,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Others,nan,Mar-21
390653144,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Acid Attack (326(a)),1,Mar-21
788496593,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Attempt to Acid Attack (326(b)),2,Mar-21
427254777,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Grievous Hurt,78,Mar-21
932919644,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Simple Hurt,1129,Mar-21
198273659,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Custodial,0,Mar-21
734539775,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Others,1,Mar-21
698611181,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Attempt to Commit,0,Mar-21
926948877,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Alcoholic Drink (Liquor),0,Mar-21
698646921,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Cement & Chemical/Fertiliser,0,Mar-21
110677082,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Cosmetics,0,Mar-21
600588661,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Diesel,0,Mar-21
753669539,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Drug/Medicine,0,Mar-21
393440223,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Edible Oil,0,Mar-21
266976542,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Food Grain,0,Mar-21
171594302,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Kerosene,0,Mar-21
452454045,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Life Saving Drug,0,Mar-21
659482447,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Mobile Oil,0,Mar-21
579553922,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Petrol,0,Mar-21
407834806,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Petroleum Product,0,Mar-21
698136839,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Soft Drinks,0,Mar-21
679239687,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Spices,0,Mar-21
253843712,AFFRAY ,Sec. 160 IPC ,Others,27,Mar-21
446081611,ARSON ,"Sec. 435, 436, 438 IPC ",Others,18,Mar-21
978787334,ARSON ,"Sec. 435, 436, 438 IPC ",Agricultural Produce,6,Mar-21
111212604,ARSON ,"Sec. 435, 436, 438 IPC ",Attemp to Commit,0,Mar-21
936462776,ARSON ,"Sec. 435, 436, 438 IPC ",Boat / Ship,0,Mar-21
989894290,ARSON ,"Sec. 435, 436, 438 IPC ",Dwelling House,2,Mar-21
260830001,ARSON ,"Sec. 435, 436, 438 IPC ",Educational Institution,0,Mar-21
707905917,ARSON ,"Sec. 435, 436, 438 IPC ",Govt. Property,1,Mar-21
165346639,ARSON ,"Sec. 435, 436, 438 IPC ",Industrial Establishment,0,Mar-21
833018260,ARSON ,"Sec. 435, 436, 438 IPC ",Place of worship,0,Mar-21
647385272,ARSON ,"Sec. 435, 436, 438 IPC ",Public Place,5,Mar-21
861626939,ARSON ,"Sec. 435, 436, 438 IPC ",Railway Property,0,Mar-21
503164029,ARSON ,"Sec. 435, 436, 438 IPC ",Vital Installation,0,Mar-21
206647137,ARSON ,"Sec. 435, 436, 438 IPC ",Warehouse (Godown),0,Mar-21
357063724,ASSAULT ,"Sec 356, 357 IPC",Others,nan,Mar-21
769055169,ASSAULT ,"Sec 356, 357 IPC",Attempt To Commit,0,Mar-21
388964564,ASSAULT ,"Sec 356, 357 IPC",On Contractor,0,Mar-21
248142448,ASSAULT ,"Sec 356, 357 IPC",On Domestic Servant,0,Mar-21
860939184,ASSAULT ,"Sec 356, 357 IPC",On Labourer,0,Mar-21
345473291,ASSAULT ,"Sec 356, 357 IPC",On Man (General),2,Mar-21
653813645,ASSAULT ,"Sec 356, 357 IPC",On Man (SC),0,Mar-21
514813209,ASSAULT ,"Sec 356, 357 IPC",On Man (ST),0,Mar-21
701889183,ASSAULT ,"Sec 356, 357 IPC",On Manager/Executive (Other Than Public Servant),0,Mar-21
996087520,ASSAULT ,"Sec 356, 357 IPC","On Member of Clergy (Christian, Budhist, Jain,Sikh)",0,Mar-21
502566448,ASSAULT ,"Sec 356, 357 IPC","Member of Legislative Assembly / Council(MLA/MLC)",0,Mar-21
650309604,ASSAULT ,"Sec 356, 357 IPC",On Member of Parliament (MP),0,Mar-21
642372425,ASSAULT ,"Sec 356, 357 IPC",On other Dignitaries /Public Figures,0,Mar-21
763176492,ASSAULT ,"Sec 356, 357 IPC",On Press,0,Mar-21
487170522,ASSAULT ,"Sec 356, 357 IPC",On Professional,0,Mar-21
